810.2498 1.6144834E-12
805.8937 1.6891511E-12
801.5841 1.8086445E-12
797.3204 1.8382724E-12
793.1017 1.8160114E-12
788.9276 1.8757413E-12
784.7970 1.9936607E-12
780.7095 2.0478736E-12
776.6644 2.0396044E-12
772.6609 2.0831726E-12
768.6987 2.1938176E-12
764.7767 2.2675505E-12
760.8946 2.2790697E-12
757.0516 2.3179104E-12
753.2473 2.4194850E-12
749.4811 2.5093131E-12
745.7523 2.5387275E-12
742.0606 2.5764393E-12
738.4050 2.6729216E-12
734.7854 2.7725639E-12
731.2011 2.8233477E-12
727.6516 2.8668268E-12
724.1364 2.9576578E-12
720.6549 3.0649784E-12
717.2068 3.1329392E-12
713.7916 3.1827353E-12
710.4086 3.2704514E-12
707.0577 3.3834255E-12
703.7382 3.4686358E-12
700.4496 3.5297811E-12
697.1918 3.6195491E-12
693.9640 3.7401067E-12
690.7660 3.8432547E-12
687.5974 3.9195084E-12
684.4576 4.0137121E-12
681.3465 4.1398716E-12
678.2635 4.2593038E-12
675.2083 4.3515048E-12
672.1804 4.4518608E-12
669.1796 4.5833073E-12
666.2054 4.7176243E-12
663.2576 4.8281487E-12
660.3358 4.9390726E-12
657.4396 5.0785405E-12
654.5687 5.2283412E-12
651.7228 5.3571566E-12
648.9014 5.4810384E-12
646.1044 5.6301652E-12
643.3315 5.7952462E-12
640.5822 5.9452408E-12
637.8563 6.0853393E-12
635.1535 6.2456576E-12
632.4735 6.4274046E-12
629.8160 6.5998166E-12
627.1808 6.7596814E-12
624.5676 6.9354080E-12
621.9760 7.1345516E-12
619.4059 7.3315971E-12
616.8569 7.5149843E-12
614.3288 7.7088899E-12
611.8213 7.9282102E-12
609.3344 8.1518212E-12
606.8673 8.3632181E-12
604.4202 8.5800377E-12
601.9929 8.8228808E-12
599.5849 9.0763352E-12
597.1960 9.3199467E-12
594.8263 9.5657917E-12
592.4752 9.8367269E-12
590.1426 1.0124361E-11
587.8283 1.0406559E-11
585.5321 1.0687754E-11
583.2538 1.0993225E-11
580.9932 1.1322289E-11
578.7499 1.1652036E-11
576.5239 1.1981796E-11
574.3151 1.2337449E-11
572.1230 1.2727622E-11
569.9476 1.3131814E-11
567.7888 1.3540093E-11
565.6462 1.3971328E-11
563.5197 1.4434687E-11
561.4091 1.4910340E-11
559.3143 1.5384515E-11
557.2350 1.5874595E-11
555.1712 1.6396771E-11
553.1226 1.6935361E-11
